agey,serogroup,country,survyr,ipd
77,PCV20,South Africa,2016,5
78,PCV20,South Africa,2016,3
79,PCV20,South Africa,2016,1
80,PCV20,South Africa,2016,4
81,PCV20,South Africa,2016,4
82,PCV20,South Africa,2016,1
83,PCV20,South Africa,2016,2
84,PCV20,South Africa,2016,5
85,PCV20,South Africa,2016,2
86,PCV20,South Africa,2016,2
87,PCV20,South Africa,2016,4
88,PCV20,South Africa,2016,2
89,PCV20,South Africa,2016,0
90,PCV20,South Africa,2016,1
55,PPV23,South Africa,2016,10
56,PPV23,South Africa,2016,14
57,PPV23,South Africa,2016,11
58,PPV23,South Africa,2016,9
59,PPV23,South Africa,2016,11
60,PPV23,South Africa,2016,5
61,PPV23,South Africa,2016,4
62,PPV23,South Africa,2016,11
63,PPV23,South Africa,2016,6
64,PPV23,South Africa,2016,4
65,PPV23,South Africa,2016,7
66,PPV23,South Africa,2016,9
67,PPV23,South Africa,2016,5
68,PPV23,South Africa,2016,4
69,PPV23,South Africa,2016,7
70,PPV23,South Africa,2016,2
71,PPV23,South Africa,2016,5
72,PPV23,South Africa,2016,5
73,PPV23,South Africa,2016,6
74,PPV23,South Africa,2016,5
75,PPV23,South Africa,2016,6
76,PPV23,South Africa,2016,2
77,PPV23,South Africa,2016,5
78,PPV23,South Africa,2016,3
79,PPV23,South Africa,2016,1
80,PPV23,South Africa,2016,4
81,PPV23,South Africa,2016,4
82,PPV23,South Africa,2016,2
83,PPV23,South Africa,2016,2
84,PPV23,South Africa,2016,5
85,PPV23,South Africa,2016,2
86,PPV23,South Africa,2016,2
87,PPV23,South Africa,2016,5
88,PPV23,South Africa,2016,1
89,PPV23,South Africa,2016,0
90,PPV23,South Africa,2016,1
55,PCV13,South Africa,2017,2
56,PCV13,South Africa,2017,6
57,PCV13,South Africa,2017,6
58,PCV13,South Africa,2017,3
59,PCV13,South Africa,2017,1
60,PCV13,South Africa,2017,5
61,PCV13,South Africa,2017,1
62,PCV13,South Africa,2017,1
63,PCV13,South Africa,2017,3
64,PCV13,South Africa,2017,1
65,PCV13,South Africa,2017,3
66,PCV13,South Africa,2017,3
67,PCV13,South Africa,2017,4
68,PCV13,South Africa,2017,4
69,PCV13,South Africa,2017,2
70,PCV13,South Africa,2017,3
71,PCV13,South Africa,2017,2
72,PCV13,South Africa,2017,2
73,PCV13,South Africa,2017,1
